Software_Category,sc_parent,Software_CategoryLabel,sc_parentLabel,num_software
http://www.wikidata.org/entity/Q13741,http://www.wikidata.org/entity/Q3055454,integrated development environment,deployment environment,199
http://www.wikidata.org/entity/Q15544757,http://www.wikidata.org/entity/Q166142,science software,application,10
http://www.wikidata.org/entity/Q15547961,http://www.wikidata.org/entity/Q166142,multimedia software,application,4
http://www.wikidata.org/entity/Q15548064,http://www.wikidata.org/entity/Q166142,computer-aided manufacturing software,application,11
http://www.wikidata.org/entity/Q15548076,http://www.wikidata.org/entity/Q166142,computer-aided design software,application,92
http://www.wikidata.org/entity/Q15548076,http://www.wikidata.org/entity/Q868410,computer-aided design software,graphics software,92
http://www.wikidata.org/entity/Q15548076,http://www.wikidata.org/entity/Q985394,computer-aided design software,editor,92
http://www.wikidata.org/entity/Q15548076,http://www.wikidata.org/entity/Q15548082,computer-aided design software,industrial software,92
http://www.wikidata.org/entity/Q9135,http://www.wikidata.org/entity/Q676202,operating system,system software,1080
http://www.wikidata.org/entity/Q15548082,http://www.wikidata.org/entity/Q166142,industrial software,application,0
http://www.wikidata.org/entity/Q15618491,http://www.wikidata.org/entity/Q166142,speech synthesis software,application,9
http://www.wikidata.org/entity/Q15618491,http://www.wikidata.org/entity/Q15562063,speech synthesis software,audio software,9
http://www.wikidata.org/entity/Q21570197,http://www.wikidata.org/entity/Q166142,typing tutor,application,12
http://www.wikidata.org/entity/Q21570197,http://www.wikidata.org/entity/Q1074158,typing tutor,educational software,12
http://www.wikidata.org/entity/Q21577192,http://www.wikidata.org/entity/Q166142,BitTorrent client,application,57
http://www.wikidata.org/entity/Q21577192,http://www.wikidata.org/entity/Q528166,BitTorrent client,client,57
http://www.wikidata.org/entity/Q21577192,http://www.wikidata.org/entity/Q12014419,BitTorrent client,peer-to-peer software,57
http://www.wikidata.org/entity/Q54277,http://www.wikidata.org/entity/Q166142,word processor,application,117
http://www.wikidata.org/entity/Q54277,http://www.wikidata.org/entity/Q985394,word processor,editor,117
http://www.wikidata.org/entity/Q54277,http://www.wikidata.org/entity/Q7247856,word processor,productivity software,117
http://www.wikidata.org/entity/Q28051323,http://www.wikidata.org/entity/Q166142,video-conferencing software,application,14
http://www.wikidata.org/entity/Q60461507,http://www.wikidata.org/entity/Q166142,search tool,application,1
http://www.wikidata.org/entity/Q65048190,http://www.wikidata.org/entity/Q166142,mind mapping software,application,1
http://www.wikidata.org/entity/Q84177695,http://www.wikidata.org/entity/Q166142,to-do list manager,application,6
http://www.wikidata.org/entity/Q91231169,http://www.wikidata.org/entity/Q166142,RPKI validator,application,1
http://www.wikidata.org/entity/Q92205975,http://www.wikidata.org/entity/Q166142,econometrics software,application,1
http://www.wikidata.org/entity/Q97644802,http://www.wikidata.org/entity/Q166142,farm management software,application,1
http://www.wikidata.org/entity/Q97644802,http://www.wikidata.org/entity/Q167035,farm management software,project management software,1
http://www.wikidata.org/entity/Q98905977,http://www.wikidata.org/entity/Q23622,dictionary software,dictionary,17
http://www.wikidata.org/entity/Q98905977,http://www.wikidata.org/entity/Q166142,dictionary software,application,17
http://www.wikidata.org/entity/Q99460482,http://www.wikidata.org/entity/Q166142,justifier,application,1
http://www.wikidata.org/entity/Q100158612,http://www.wikidata.org/entity/Q166142,network simulator,application,1
http://www.wikidata.org/entity/Q100158612,http://www.wikidata.org/entity/Q11121294,network simulator,simulation software,1
http://www.wikidata.org/entity/Q105044723,http://www.wikidata.org/entity/Q166142,pixel-art editor,application,1
http://www.wikidata.org/entity/Q105044723,http://www.wikidata.org/entity/Q868410,pixel-art editor,graphics software,1
http://www.wikidata.org/entity/Q105044723,http://www.wikidata.org/entity/Q985394,pixel-art editor,editor,1
http://www.wikidata.org/entity/Q131212,http://www.wikidata.org/entity/Q985394,text editor,editor,255
http://www.wikidata.org/entity/Q131212,http://www.wikidata.org/entity/Q166142,text editor,application,255
http://www.wikidata.org/entity/Q75050,http://www.wikidata.org/entity/Q166142,genealogy software,application,34
http://www.wikidata.org/entity/Q11288,http://www.wikidata.org/entity/Q1371279,web server,server software,46
http://www.wikidata.org/entity/Q80998,http://www.wikidata.org/entity/Q621580,firewall,computer appliance,24
http://www.wikidata.org/entity/Q80998,http://www.wikidata.org/entity/Q870898,firewall,computer security software,24
http://www.wikidata.org/entity/Q80998,http://www.wikidata.org/entity/Q7554244,firewall,software appliance,24
http://www.wikidata.org/entity/Q146768,http://www.wikidata.org/entity/Q676202,middleware,system software,26
http://www.wikidata.org/entity/Q207170,http://www.wikidata.org/entity/Q1143070,office suite,software suite,51
http://www.wikidata.org/entity/Q207170,http://www.wikidata.org/entity/Q7247856,office suite,productivity software,51
http://www.wikidata.org/entity/Q312466,http://www.wikidata.org/entity/Q40056,utility software,computer program,290
http://www.wikidata.org/entity/Q312466,http://www.wikidata.org/entity/Q676202,utility software,system software,290
http://www.wikidata.org/entity/Q309396,http://www.wikidata.org/entity/Q14001,keystroke logging,malware,1
http://www.wikidata.org/entity/Q453843,http://www.wikidata.org/entity/Q166142,ontology editor,application,17
http://www.wikidata.org/entity/Q498267,http://www.wikidata.org/entity/Q166142,news aggregator,application,55
http://www.wikidata.org/entity/Q498267,http://www.wikidata.org/entity/Q393351,news aggregator,aggregator,55
http://www.wikidata.org/entity/Q498267,http://www.wikidata.org/entity/Q528166,news aggregator,client,55
http://www.wikidata.org/entity/Q498267,http://www.wikidata.org/entity/Q28933155,news aggregator,news aggregation website,55
http://www.wikidata.org/entity/Q176165,http://www.wikidata.org/entity/Q2429814,database management system,software system,104
http://www.wikidata.org/entity/Q164274,http://www.wikidata.org/entity/Q40056,spell checker,computer program,13
http://www.wikidata.org/entity/Q183065,http://www.wikidata.org/entity/Q40056,interpreter,computer program,23
http://www.wikidata.org/entity/Q183065,http://www.wikidata.org/entity/Q4117406,interpreter,implementation of a programming language,23
http://www.wikidata.org/entity/Q184748,http://www.wikidata.org/entity/Q40056,codec,computer program,16
http://www.wikidata.org/entity/Q184748,http://www.wikidata.org/entity/Q745243,codec,decoder,16
http://www.wikidata.org/entity/Q184748,http://www.wikidata.org/entity/Q5392830,codec,encoder,16
http://www.wikidata.org/entity/Q620615,http://www.wikidata.org/entity/Q166142,mobile app,application,838
http://www.wikidata.org/entity/Q620615,http://www.wikidata.org/entity/Q340169,mobile app,communication medium,838
http://www.wikidata.org/entity/Q620615,http://www.wikidata.org/entity/Q21743174,mobile app,mobile software,838
http://www.wikidata.org/entity/Q909523,http://www.wikidata.org/entity/Q40056,Ukagaka,computer program,0
http://www.wikidata.org/entity/Q909523,http://www.wikidata.org/entity/Q51938570,Ukagaka,entertainment software,0
http://www.wikidata.org/entity/Q3257930,http://www.wikidata.org/entity/Q1077784,version control system,programming tool,17
http://www.wikidata.org/entity/Q3257930,http://www.wikidata.org/entity/Q2429814,version control system,software system,17
http://www.wikidata.org/entity/Q16676491,http://www.wikidata.org/entity/Q1371279,e-mail server,server software,2
http://www.wikidata.org/entity/Q29364197,http://www.wikidata.org/entity/Q868410,desktop publishing software,graphics software,8
http://www.wikidata.org/entity/Q29364197,http://www.wikidata.org/entity/Q985394,desktop publishing software,editor,8
http://www.wikidata.org/entity/Q29364197,http://www.wikidata.org/entity/Q66436511,desktop publishing software,publishing software,8
http://www.wikidata.org/entity/Q29642950,http://www.wikidata.org/entity/Q165194,Python library,application programming interface,5609
http://www.wikidata.org/entity/Q29642950,http://www.wikidata.org/entity/Q188860,Python library,software library,5609
http://www.wikidata.org/entity/Q29642950,http://www.wikidata.org/entity/Q1995545,Python library,software package,5609
http://www.wikidata.org/entity/Q570871,http://www.wikidata.org/entity/Q528166,email client,client,79
http://www.wikidata.org/entity/Q570871,http://www.wikidata.org/entity/Q3635085,email client,communication software,79
http://www.wikidata.org/entity/Q570871,http://www.wikidata.org/entity/Q17155032,email client,software category,79
http://www.wikidata.org/entity/Q202871,http://www.wikidata.org/entity/Q40056,emulator,computer program,107
http://www.wikidata.org/entity/Q1077480,http://www.wikidata.org/entity/Q9135,hypervisor,operating system,35
http://www.wikidata.org/entity/Q70191115,http://www.wikidata.org/entity/Q14644,stalkerware,spyware,0
http://www.wikidata.org/entity/Q191865,http://www.wikidata.org/entity/Q40056,internet bot,computer program,15
http://www.wikidata.org/entity/Q1033951,http://www.wikidata.org/entity/Q676202,device driver,system software,35
http://www.wikidata.org/entity/Q1033951,http://www.wikidata.org/entity/Q60596716,device driver,driver,35
http://www.wikidata.org/entity/Q193564,http://www.wikidata.org/entity/Q2622299,game engine,software engine,243
http://www.wikidata.org/entity/Q193564,http://www.wikidata.org/entity/Q146768,game engine,middleware,243
http://www.wikidata.org/entity/Q193564,http://www.wikidata.org/entity/Q312466,game engine,utility software,243
http://www.wikidata.org/entity/Q184900,http://www.wikidata.org/entity/Q131212,line editor,text editor,5
http://www.wikidata.org/entity/Q1162303,http://www.wikidata.org/entity/Q1371279,print server,server software,1
http://www.wikidata.org/entity/Q2276335,http://www.wikidata.org/entity/Q1143070,graphics suite,software suite,1
http://www.wikidata.org/entity/Q2462003,http://www.wikidata.org/entity/Q340169,instant messaging client,communication medium,164
http://www.wikidata.org/entity/Q2462003,http://www.wikidata.org/entity/Q528166,instant messaging client,client,164
http://www.wikidata.org/entity/Q2462003,http://www.wikidata.org/entity/Q3635085,instant messaging client,communication software,164
http://www.wikidata.org/entity/Q2979024,http://www.wikidata.org/entity/Q528166,HTTP client,client,6
http://www.wikidata.org/entity/Q3503189,http://www.wikidata.org/entity/Q528166,FTP client,client,25
http://www.wikidata.org/entity/Q4856363,http://www.wikidata.org/entity/Q1318054,Banking software,enterprise software,1
http://www.wikidata.org/entity/Q13224353,http://www.wikidata.org/entity/Q312466,monitoring application,utility software,13
http://www.wikidata.org/entity/Q13224353,http://www.wikidata.org/entity/Q1165574,monitoring application,system monitor,13
http://www.wikidata.org/entity/Q29558845,http://www.wikidata.org/entity/Q528166,SSH client,client,3
http://www.wikidata.org/entity/Q29642842,http://www.wikidata.org/entity/Q1172313,e-book reader software,file viewer,15
http://www.wikidata.org/entity/Q96252740,http://www.wikidata.org/entity/Q528166,Gopher client,client,4
http://www.wikidata.org/entity/Q96252759,http://www.wikidata.org/entity/Q528166,Gemini client,client,5
http://www.wikidata.org/entity/Q271680,http://www.wikidata.org/entity/Q40056,software framework,computer program,230
http://www.wikidata.org/entity/Q271680,http://www.wikidata.org/entity/Q188860,software framework,software library,230
http://www.wikidata.org/entity/Q271680,http://www.wikidata.org/entity/Q241317,software framework,computing platform,230
http://www.wikidata.org/entity/Q271680,http://www.wikidata.org/entity/Q15411548,software framework,computing infrastructure,230
http://www.wikidata.org/entity/Q877886,http://www.wikidata.org/entity/Q312466,compression software,utility software,43
http://www.wikidata.org/entity/Q1077784,http://www.wikidata.org/entity/Q312466,programming tool,utility software,83
http://www.wikidata.org/entity/Q1281199,http://www.wikidata.org/entity/Q312466,password manager,utility software,34
http://www.wikidata.org/entity/Q1464880,http://www.wikidata.org/entity/Q312466,installer,utility software,7
http://www.wikidata.org/entity/Q2092884,http://www.wikidata.org/entity/Q216653,tiling window manager,window manager,15
http://www.wikidata.org/entity/Q3006107,http://www.wikidata.org/entity/Q312466,portable application creator,utility software,0
http://www.wikidata.org/entity/Q3248226,http://www.wikidata.org/entity/Q312466,partition editor,utility software,11
http://www.wikidata.org/entity/Q3248226,http://www.wikidata.org/entity/Q3552754,partition editor,Disk utility,11
http://www.wikidata.org/entity/Q54366,http://www.wikidata.org/entity/Q312466,packet analyzer,utility software,15
http://www.wikidata.org/entity/Q565428,http://www.wikidata.org/entity/Q312466,download manager,utility software,32
http://www.wikidata.org/entity/Q747948,http://www.wikidata.org/entity/Q312466,hex editor,utility software,12
http://www.wikidata.org/entity/Q747948,http://www.wikidata.org/entity/Q985394,hex editor,editor,12
http://www.wikidata.org/entity/Q753486,http://www.wikidata.org/entity/Q312466,screensaver,utility software,3
http://www.wikidata.org/entity/Q870898,http://www.wikidata.org/entity/Q312466,computer security software,utility software,26
http://www.wikidata.org/entity/Q4839801,http://www.wikidata.org/entity/Q312466,backup software,utility software,46
http://www.wikidata.org/entity/Q5282305,http://www.wikidata.org/entity/Q312466,disk cleaner,utility software,1
http://www.wikidata.org/entity/Q7001229,http://www.wikidata.org/entity/Q312466,network utility,utility software,6
http://www.wikidata.org/entity/Q7246032,http://www.wikidata.org/entity/Q312466,privacy software,utility software,2
http://www.wikidata.org/entity/Q15478230,http://www.wikidata.org/entity/Q312466,data synchronization software,utility software,3
http://www.wikidata.org/entity/Q15548044,http://www.wikidata.org/entity/Q312466,application launcher,utility software,12
http://www.wikidata.org/entity/Q25303924,http://www.wikidata.org/entity/Q312466,file archiver,utility software,39
http://www.wikidata.org/entity/Q205020,http://www.wikidata.org/entity/Q782543,desktop environment,graphical user interface,50
http://www.wikidata.org/entity/Q229371,http://www.wikidata.org/entity/Q868410,3D computer graphics software,graphics software,63
http://www.wikidata.org/entity/Q337820,http://www.wikidata.org/entity/Q188860,graphics library,software library,28
http://www.wikidata.org/entity/Q337820,http://www.wikidata.org/entity/Q868410,graphics library,graphics software,28
http://www.wikidata.org/entity/Q467707,http://www.wikidata.org/entity/Q1077784,software development kit,programming tool,53
http://www.wikidata.org/entity/Q467707,http://www.wikidata.org/entity/Q40056,software development kit,computer program,53
http://www.wikidata.org/entity/Q522972,http://www.wikidata.org/entity/Q131212,source code editor,text editor,19
http://www.wikidata.org/entity/Q522972,http://www.wikidata.org/entity/Q1077784,source code editor,programming tool,19
http://www.wikidata.org/entity/Q64601,http://www.wikidata.org/entity/Q985394,scorewriter,editor,29
http://www.wikidata.org/entity/Q64601,http://www.wikidata.org/entity/Q1955251,scorewriter,music software,29
http://www.wikidata.org/entity/Q283770,http://www.wikidata.org/entity/Q40056,vulnerability scanner,computer program,6
http://www.wikidata.org/entity/Q283770,http://www.wikidata.org/entity/Q7336285,vulnerability scanner,risk management tool,6
http://www.wikidata.org/entity/Q451816,http://www.wikidata.org/entity/Q80998,application firewall,firewall,0
http://www.wikidata.org/entity/Q868410,http://www.wikidata.org/entity/Q985394,graphics software,editor,70
http://www.wikidata.org/entity/Q868410,http://www.wikidata.org/entity/Q166142,graphics software,application,70
http://www.wikidata.org/entity/Q874411,http://www.wikidata.org/entity/Q166142,browser extension,application,44
http://www.wikidata.org/entity/Q874411,http://www.wikidata.org/entity/Q1663795,browser extension,software extension,44
http://www.wikidata.org/entity/Q860676,http://www.wikidata.org/entity/Q166142,image viewer,application,64
http://www.wikidata.org/entity/Q726761,http://www.wikidata.org/entity/Q985394,HTML editor,editor,53
http://www.wikidata.org/entity/Q758870,http://www.wikidata.org/entity/Q985394,digital audio editor,editor,51
http://www.wikidata.org/entity/Q758870,http://www.wikidata.org/entity/Q15562063,digital audio editor,audio software,51
http://www.wikidata.org/entity/Q762157,http://www.wikidata.org/entity/Q868410,scenery generator,graphics software,2
http://www.wikidata.org/entity/Q860737,http://www.wikidata.org/entity/Q860676,photo slideshow software,image viewer,0
http://www.wikidata.org/entity/Q860760,http://www.wikidata.org/entity/Q868410,image organizer,graphics software,15
http://www.wikidata.org/entity/Q537993,http://www.wikidata.org/entity/Q40056,database engine,computer program,18
http://www.wikidata.org/entity/Q625518,http://www.wikidata.org/entity/Q40056,mail retrieval agent,computer program,3
http://www.wikidata.org/entity/Q836795,http://www.wikidata.org/entity/Q40056,boot loader,computer program,30
http://www.wikidata.org/entity/Q2257348,http://www.wikidata.org/entity/Q40056,grammar checker,computer program,5
http://www.wikidata.org/entity/Q7439078,http://www.wikidata.org/entity/Q54277,screenwriting software,word processor,11
http://www.wikidata.org/entity/Q17167101,http://www.wikidata.org/entity/Q131212,TeX editor,text editor,8
http://www.wikidata.org/entity/Q48995961,http://www.wikidata.org/entity/Q45211,headless content management system,Web content management system,1
http://www.wikidata.org/entity/Q104764409,http://www.wikidata.org/entity/Q40056,mail user agent,computer program,1
http://www.wikidata.org/entity/Q4774495,http://www.wikidata.org/entity/Q180712,anti-worm,computer worm,0
http://www.wikidata.org/entity/Q12847068,http://www.wikidata.org/entity/Q176165,VBRİS,database management system,0
http://www.wikidata.org/entity/Q12847068,http://www.wikidata.org/entity/Q3932296,VBRİS,relational database management system,0
http://www.wikidata.org/entity/Q925622,http://www.wikidata.org/entity/Q166142,knowledge-based configuration,application,0
http://www.wikidata.org/entity/Q985394,http://www.wikidata.org/entity/Q166142,editor,application,9
http://www.wikidata.org/entity/Q985394,http://www.wikidata.org/entity/Q956238,editor,interactive computing,9
http://www.wikidata.org/entity/Q1074158,http://www.wikidata.org/entity/Q166142,educational software,application,71
http://www.wikidata.org/entity/Q1074158,http://www.wikidata.org/entity/Q1068473,educational software,educational technology,71
http://www.wikidata.org/entity/Q1074158,http://www.wikidata.org/entity/Q17155032,educational software,software category,71
http://www.wikidata.org/entity/Q1373429,http://www.wikidata.org/entity/Q2522958,video editing software,video software,114
http://www.wikidata.org/entity/Q1373429,http://www.wikidata.org/entity/Q985394,video editing software,editor,114
http://www.wikidata.org/entity/Q1155404,http://www.wikidata.org/entity/Q868410,vector graphics editor,graphics software,63
http://www.wikidata.org/entity/Q1155404,http://www.wikidata.org/entity/Q985394,vector graphics editor,editor,63
http://www.wikidata.org/entity/Q1190017,http://www.wikidata.org/entity/Q782543,windowing system,graphical user interface,19
http://www.wikidata.org/entity/Q1194864,http://www.wikidata.org/entity/Q166142,electronic design automation,application,2
http://www.wikidata.org/entity/Q1194864,http://www.wikidata.org/entity/Q15548082,electronic design automation,industrial software,2
http://www.wikidata.org/entity/Q1328864,http://www.wikidata.org/entity/Q166142,screen reader,application,15
http://www.wikidata.org/entity/Q1328864,http://www.wikidata.org/entity/Q4230128,screen reader,assistive technology for blind computer use,15
http://www.wikidata.org/entity/Q1344636,http://www.wikidata.org/entity/Q131093,Enterprise Content Management system,content management system,20
http://www.wikidata.org/entity/Q1344636,http://www.wikidata.org/entity/Q1318054,Enterprise Content Management system,enterprise software,20
http://www.wikidata.org/entity/Q2351962,http://www.wikidata.org/entity/Q15548076,raster graphics editor,computer-aided design software,147
http://www.wikidata.org/entity/Q2351962,http://www.wikidata.org/entity/Q868410,raster graphics editor,graphics software,147
http://www.wikidata.org/entity/Q2351962,http://www.wikidata.org/entity/Q985394,raster graphics editor,editor,147
http://www.wikidata.org/entity/Q1461523,http://www.wikidata.org/entity/Q166142,console application,application,134
http://www.wikidata.org/entity/Q1568118,http://www.wikidata.org/entity/Q166142,personal information manager,application,17
http://www.wikidata.org/entity/Q1568118,http://www.wikidata.org/entity/Q1136404,personal information manager,personal organizer,17
http://www.wikidata.org/entity/Q1932945,http://www.wikidata.org/entity/Q166142,business software,application,5
http://www.wikidata.org/entity/Q1955251,http://www.wikidata.org/entity/Q166142,music software,application,20
http://www.wikidata.org/entity/Q1955251,http://www.wikidata.org/entity/Q15562063,music software,audio software,20
http://www.wikidata.org/entity/Q6078050,http://www.wikidata.org/entity/Q35127,Q6078050,website,1
http://www.wikidata.org/entity/Q6078050,http://www.wikidata.org/entity/Q1074158,Q6078050,educational software,1
http://www.wikidata.org/entity/Q15590034,http://www.wikidata.org/entity/Q868410,plotting software,graphics software,4
http://www.wikidata.org/entity/Q15590034,http://www.wikidata.org/entity/Q15544757,plotting software,science software,4
http://www.wikidata.org/entity/Q15614021,http://www.wikidata.org/entity/Q635540,VoIP software,softphone,18
http://www.wikidata.org/entity/Q15614021,http://www.wikidata.org/entity/Q3635085,VoIP software,communication software,18
http://www.wikidata.org/entity/Q15623421,http://www.wikidata.org/entity/Q868410,image processing software,graphics software,13
http://www.wikidata.org/entity/Q26726974,http://www.wikidata.org/entity/Q868410,dynamic geometry software,graphics software,19
http://www.wikidata.org/entity/Q26726974,http://www.wikidata.org/entity/Q15544757,dynamic geometry software,science software,19
http://www.wikidata.org/entity/Q2115026,http://www.wikidata.org/entity/Q166142,presentation program,application,21
http://www.wikidata.org/entity/Q2158576,http://www.wikidata.org/entity/Q166142,orthodox file manager,application,23
http://www.wikidata.org/entity/Q2158576,http://www.wikidata.org/entity/Q732970,orthodox file manager,file manager,23
http://www.wikidata.org/entity/Q2522958,http://www.wikidata.org/entity/Q166142,video software,application,2
http://www.wikidata.org/entity/Q2522958,http://www.wikidata.org/entity/Q15547961,video software,multimedia software,2
http://www.wikidata.org/entity/Q2933820,http://www.wikidata.org/entity/Q166142,calendaring software,application,9
http://www.wikidata.org/entity/Q3559933,http://www.wikidata.org/entity/Q58199,Live support software,instant messaging,0
http://www.wikidata.org/entity/Q65966993,http://www.wikidata.org/entity/Q131093,hypertext system,content management system,53
http://www.wikidata.org/entity/Q62505,http://www.wikidata.org/entity/Q2622299,physics engine,software engine,15
http://www.wikidata.org/entity/Q62505,http://www.wikidata.org/entity/Q15544757,physics engine,science software,15
http://www.wikidata.org/entity/Q167035,http://www.wikidata.org/entity/Q1932945,project management software,business software,55
http://www.wikidata.org/entity/Q210337,http://www.wikidata.org/entity/Q15547961,media player software,multimedia software,72
http://www.wikidata.org/entity/Q240831,http://www.wikidata.org/entity/Q184748,video codec,codec,34
http://www.wikidata.org/entity/Q240831,http://www.wikidata.org/entity/Q2522958,video codec,video software,34
http://www.wikidata.org/entity/Q474157,http://www.wikidata.org/entity/Q615985,collaborative software,social software,58
http://www.wikidata.org/entity/Q474157,http://www.wikidata.org/entity/Q1932945,collaborative software,business software,58
http://www.wikidata.org/entity/Q569915,http://www.wikidata.org/entity/Q16676491,mail delivery agent,e-mail server,3
