Software_Category;Software_CategoryLabel;num_software;subclass of 
http://www.wikidata.org/entity/Q1461523;console application;133;application , opposite of desktop application, uses command line
http://www.wikidata.org/entity/Q93661;integrated library system;37;application, automated information system
http://www.wikidata.org/entity/Q6686945;wiki software;47;application, collaborative software, hypertext system, software engine
http://www.wikidata.org/entity/Q868410;graphics software;68;application, editor 
http://www.wikidata.org/entity/Q54277;word processor;117;Application, editor, productivity software
http://www.wikidata.org/entity/Q6368;web browser;170;application, HTTP client
http://www.wikidata.org/entity/Q620615;mobile app;833;application, mobile software
http://www.wikidata.org/entity/Q2115026;presentation program;21;application, Presentation software
http://www.wikidata.org/entity/Q13741;integrated development environment;199;application, programming tool , source code editor
http://www.wikidata.org/entity/Q11121294;simulation software;39;application, simulation software
http://www.wikidata.org/entity/Q75050;genealogy software;34;application, use in genealogy
http://www.wikidata.org/entity/Q1023097;CD ripper;10;audio software
http://www.wikidata.org/entity/Q15618491;speech synthesis software;9;audio software
http://www.wikidata.org/entity/Q25929318;disk cloning software;5;backup software
http://www.wikidata.org/entity/Q167035;project management software;55;business software
http://www.wikidata.org/entity/Q974828;accounting software;24;business software
http://www.wikidata.org/entity/Q95988573;customer relationship management software;13;business software
http://www.wikidata.org/entity/Q15548064;computer-aided manufacturing software;11;CAD software , application
http://www.wikidata.org/entity/Q3503189;FTP client;25;client
http://www.wikidata.org/entity/Q2979024;HTTP client;6;client
http://www.wikidata.org/entity/Q96252759;Gemini client;5;client
http://www.wikidata.org/entity/Q96252740;Gopher client;4;client
http://www.wikidata.org/entity/Q29558845;SSH client;3;client
http://www.wikidata.org/entity/Q498267;news aggregator;55;client, application, aggregator, news aggregation software
http://www.wikidata.org/entity/Q2481505;audio codec;36;codec ( comuter program)
http://www.wikidata.org/entity/Q240831;video codec;34;codec, video software
http://www.wikidata.org/entity/Q3559933;Live support software;0;commnication software
http://www.wikidata.org/entity/Q2462003;instant messaging client;164;communication software
http://www.wikidata.org/entity/Q15614021;VoIP software;18;communication software
http://www.wikidata.org/entity/Q615985;social software;3;communication software
http://www.wikidata.org/entity/Q570871;email client;79;communication software , 
http://www.wikidata.org/entity/Q45842;web crawler;16;computer program
http://www.wikidata.org/entity/Q191865;internet bot;15;computer program
http://www.wikidata.org/entity/Q164274;spell checker;13;computer program
http://www.wikidata.org/entity/Q2257348;grammar checker;5;computer program
http://www.wikidata.org/entity/Q625518;mail retrieval agent;3;computer program
http://www.wikidata.org/entity/Q104764409;mail user agent;1;computer program
http://www.wikidata.org/entity/Q836795;boot loader;30;computer program ( use: booting)
http://www.wikidata.org/entity/Q184748;codec;16;computer program , encode, decoder
http://www.wikidata.org/entity/Q909523;Ukagaka;0;computer program , entertainment software
http://www.wikidata.org/entity/Q183065;interpreter;23;computer program , implementation of a programming language
http://www.wikidata.org/entity/Q537993;database engine;18;computer program [ part of : database management system ]
http://www.wikidata.org/entity/Q202871;emulator;107;computer program, (different from simulator)
http://www.wikidata.org/entity/Q14001;malware;56;computer program, badware
http://www.wikidata.org/entity/Q80998;firewall;24;computer security software
http://www.wikidata.org/entity/Q745881;intrusion detection system;9;computer security software
http://www.wikidata.org/entity/Q26921397;password cracking software;8;computer security software
http://www.wikidata.org/entity/Q833766;port scanner;1;computer security software
http://www.wikidata.org/entity/Q13429867;anti malware;1;computer security software
http://www.wikidata.org/entity/Q4774525;anti-keylogger;0;computer security software
http://www.wikidata.org/entity/Q4774495;anti-worm;0;computer security software
http://www.wikidata.org/entity/Q283770;vulnerability scanner;6;computer security software , computer program
http://www.wikidata.org/entity/Q3307487;diagramming software;17;computer-aided design software
http://www.wikidata.org/entity/Q17138243;Virtual home design software;0;computer-aided design software
http://www.wikidata.org/entity/Q1194674;computer-assisted language learning;2;computer-assisted learning , educational software
http://www.wikidata.org/entity/Q65966993;hypertext system;53;content management system
http://www.wikidata.org/entity/Q48995961;headless content management system;1;content management system
http://www.wikidata.org/entity/Q109720157;association management software;1;customer relationship management software
http://www.wikidata.org/entity/Q25303346;file synchronisation software;5;data synchronization software
http://www.wikidata.org/entity/Q12847068;VBR?S;0;database management system
http://www.wikidata.org/entity/Q5133829;clinical decision support system;1;decision support system
http://www.wikidata.org/entity/Q6577295;MIDI editor;3;digital audio editor , audio software
http://www.wikidata.org/entity/Q26367719;On-the-fly encryption software;3;disk encryption software, security software, privay software
