Software_Category,Software_CategoryLabel,num_software
http://www.wikidata.org/entity/Q29642842,e-book reader software,15
http://www.wikidata.org/entity/Q191865,internet bot,15
http://www.wikidata.org/entity/Q54366,packet analyzer,15
http://www.wikidata.org/entity/Q2092884,tiling window manager,15
http://www.wikidata.org/entity/Q860760,image organizer,15
http://www.wikidata.org/entity/Q62505,physics engine,15
http://www.wikidata.org/entity/Q1050567,computer-aided engineering,15
http://www.wikidata.org/entity/Q15562063,audio software,15
http://www.wikidata.org/entity/Q13199995,statistical package,15
http://www.wikidata.org/entity/Q591919,JavaScript engine,15
http://www.wikidata.org/entity/Q21129801,natural language processing toolkit,14
http://www.wikidata.org/entity/Q3635085,communication software,14
http://www.wikidata.org/entity/Q28051323,video-conferencing software,14
http://www.wikidata.org/entity/Q91267365,imageboard software,14
http://www.wikidata.org/entity/Q13224353,monitoring application,13
http://www.wikidata.org/entity/Q164274,spell checker,13
http://www.wikidata.org/entity/Q1172313,file viewer,13
http://www.wikidata.org/entity/Q15623421,image processing software,13
http://www.wikidata.org/entity/Q95988573,customer relationship management software,13
http://www.wikidata.org/entity/Q373442,web browser engine,13
http://www.wikidata.org/entity/Q1444922,runtime library,13
http://www.wikidata.org/entity/Q21570197,typing tutor,12
http://www.wikidata.org/entity/Q747948,hex editor,12
http://www.wikidata.org/entity/Q15548044,application launcher,12
http://www.wikidata.org/entity/Q7554269,software calculator,12
http://www.wikidata.org/entity/Q15548064,computer-aided manufacturing software,11
http://www.wikidata.org/entity/Q7439078,screenwriting software,11
http://www.wikidata.org/entity/Q2057931,simulator,11
http://www.wikidata.org/entity/Q3248226,partition editor,11
http://www.wikidata.org/entity/Q4994515,file sharing software,11
http://www.wikidata.org/entity/Q14644,spyware,10
http://www.wikidata.org/entity/Q15544757,science software,10
http://www.wikidata.org/entity/Q100744571,rendering software,10
http://www.wikidata.org/entity/Q28050159,data analysis software,10
http://www.wikidata.org/entity/Q1023097,CD ripper,10
http://www.wikidata.org/entity/Q355134,graphics engine,10
http://www.wikidata.org/entity/Q15618491,speech synthesis software,9
http://www.wikidata.org/entity/Q985394,editor,9
http://www.wikidata.org/entity/Q2933820,calendaring software,9
http://www.wikidata.org/entity/Q1368899,command-line interpreter,9
http://www.wikidata.org/entity/Q745881,intrusion detection system,9
http://www.wikidata.org/entity/Q63067479,electronic mailing list manager,9
http://www.wikidata.org/entity/Q2996416,file converter,8
http://www.wikidata.org/entity/Q13515741,content-control software,8
http://www.wikidata.org/entity/Q29364197,desktop publishing software,8
http://www.wikidata.org/entity/Q17167101,TeX editor,8
http://www.wikidata.org/entity/Q854840,taskbar,8
http://www.wikidata.org/entity/Q1165574,system monitor,8
http://www.wikidata.org/entity/Q1200186,remote desktop software,8
http://www.wikidata.org/entity/Q1345429,formula editor,8
http://www.wikidata.org/entity/Q751850,astronomy software,8
http://www.wikidata.org/entity/Q66436511,publishing software,8
http://www.wikidata.org/entity/Q26921397,password cracking software,8
http://www.wikidata.org/entity/Q7314108,report generator,7
http://www.wikidata.org/entity/Q3751111,medical software,7
http://www.wikidata.org/entity/Q1464880,installer,7
http://www.wikidata.org/entity/Q5014368,CSS framework,7
http://www.wikidata.org/entity/Q279650,disassembler,7
